S. No.,Company name,Company Type,Website,Email,Contact,Location
30,Orion Innovation,IT Services,Link,career.india@orioninc.com,N/A,Chennai
31,Payoda Technology Inc,IT,Link,joinus@payoda.com,N/A,Chennai
32,Planys Technologies,Maritime,Link,info@planystech.com,N/A,Chennai
33,Response Informatics,IT Services,Link,info@responseinformaticsltd.com,N/A,Chennai
34,Resulticks,IT,Link,careers@resulticks.com,N/A,Chennai
35,Rocketlane,Saas,Link,careers@rocketlane.com,N/A,Chennai
36,Spintadigital,Advertising Services,Link,hr@spintadigital.com,N/A,Chennai
37,Waycool,Food & Beverages,Link,connect@waycool.in,N/A,Chennai
38,Wiz,Transportation/Logistics,Link,careers@wizfreight.com,N/A,Chennai
39,YouTrip,IT,Link,wearehiring@you.co,N/A,Chennai
40,Yubi,Fintech/Finance,Link,careers@go-yubi.com,N/A,Chennai
41,Zocket,AI/SaaS,Link,careers@zocket.com,N/A,Chennai
42,Zoho,Saas,Link,careers@zohocorp.com,N/A,Chennai
